Node: 21, Time: +4s,10.1.1.30, 10.1.1.30,1,1
Node: 21, Time: +4s,10.1.1.38, 10.1.1.38,1,1
Node: 21, Time: +4s,10.1.1.42, 10.1.1.42,1,1
Node: 22, Time: +4s,10.1.1.4, 10.1.1.4,1,1
Node: 22, Time: +4s,10.1.1.14, 10.1.1.14,1,1
Node: 22, Time: +4s,10.1.1.34, 10.1.1.34,1,1
Node: 23, Time: +4s,10.1.1.2, 10.1.1.2,1,1
Node: 23, Time: +4s,10.1.1.3, 10.1.1.3,1,1
Node: 23, Time: +4s,10.1.1.10, 10.1.1.10,1,1
Node: 23, Time: +4s,10.1.1.20, 10.1.1.20,1,1
Node: 24, Time: +4s,10.1.1.1, 10.1.1.1,1,1
Node: 24, Time: +4s,10.1.1.15, 10.1.1.15,1,1
Node: 24, Time: +4s,10.1.1.29, 10.1.1.29,1,1
Node: 24, Time: +4s,10.1.1.33, 10.1.1.33,1,1
Node: 24, Time: +4s,10.1.1.49, 10.1.1.49,1,1
Node: 25, Time: +4s,10.1.1.1, 10.1.1.1,1,1
Node: 25, Time: +4s,10.1.1.17, 10.1.1.17,1,1
Node: 25, Time: +4s,10.1.1.29, 10.1.1.29,1,1
Node: 25, Time: +4s,10.1.1.31, 10.1.1.31,1,1
Node: 25, Time: +4s,10.1.1.33, 10.1.1.33,1,1
Node: 25, Time: +4s,10.1.1.47, 10.1.1.47,1,1
Node: 25, Time: +4s,10.1.1.49, 10.1.1.49,1,1
Node: 26, Time: +4s,10.1.1.48, 10.1.1.48,1,1
Node: 27, Time: +4s,10.1.1.8, 10.1.1.8,1,1
Node: 27, Time: +4s,10.1.1.35, 10.1.1.35,1,1
Node: 27, Time: +4s,10.1.1.41, 10.1.1.41,1,1
Node: 28, Time: +4s,10.1.1.1, 10.1.1.1,1,1
Node: 28, Time: +4s,10.1.1.25, 10.1.1.25,1,1
Node: 28, Time: +4s,10.1.1.26, 10.1.1.26,1,1
Node: 28, Time: +4s,10.1.1.31, 10.1.1.31,1,1
Node: 28, Time: +4s,10.1.1.33, 10.1.1.33,1,1
Node: 28, Time: +4s,10.1.1.49, 10.1.1.49,1,1
Node: 29, Time: +4s,10.1.1.3, 10.1.1.3,1,1
Node: 29, Time: +4s,10.1.1.12, 10.1.1.12,1,1
Node: 29, Time: +4s,10.1.1.16, 10.1.1.16,1,1
Node: 29, Time: +4s,10.1.1.22, 10.1.1.22,1,1
Node: 29, Time: +4s,10.1.1.32, 10.1.1.32,1,1
Node: 29, Time: +4s,10.1.1.38, 10.1.1.38,1,1
Node: 30, Time: +4s,10.1.1.1, 10.1.1.1,1,1
Node: 30, Time: +4s,10.1.1.26, 10.1.1.26,1,1
Node: 30, Time: +4s,10.1.1.29, 10.1.1.29,1,1
Node: 30, Time: +4s,10.1.1.47, 10.1.1.47,1,1
Node: 30, Time: +4s,10.1.1.49, 10.1.1.49,1,1
Node: 31, Time: +4s,10.1.1.2, 10.1.1.2,1,1
Node: 31, Time: +4s,10.1.1.3, 10.1.1.3,1,1
