Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance

Node,Time,Destination,NextHop,Interface,Distance
0,+3s,10.1.0.12,10.1.0.12,1,1
0,+3s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
1,+3s,10.1.0.16,10.1.0.16,1,1

Node,Time,Destination,NextHop,Interface,Distance
2,+3s,10.1.0.14,10.1.0.14,1,1
2,+3s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
3,+3s,10.1.0.7,10.1.0.7,1,1
3,+3s,10.1.0.8,10.1.0.8,1,1
3,+3s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
4,+3s,10.1.0.14,10.1.0.14,1,1
4,+3s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
5,+3s,10.1.0.11,10.1.0.11,1,1
5,+3s,10.1.0.16,10.1.0.16,1,1

Node,Time,Destination,NextHop,Interface,Distance
6,+3s,10.1.0.4,10.1.0.4,1,1
6,+3s,10.1.0.8,10.1.0.8,1,1
6,+3s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
7,+3s,10.1.0.4,10.1.0.4,1,1
7,+3s,10.1.0.7,10.1.0.7,1,1
7,+3s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
8,+3s,10.1.0.10,10.1.0.10,1,1

Node,Time,Destination,NextHop,Interface,Distance
9,+3s,10.1.0.9,10.1.0.9,1,1

Node,Time,Destination,NextHop,Interface,Distance
10,+3s,10.1.0.6,10.1.0.6,1,1

Node,Time,Destination,NextHop,Interface,Distance
11,+3s,10.1.0.1,10.1.0.1,1,1
11,+3s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
12,+3s,10.1.0.17,10.1.0.17,1,1
12,+3s,10.1.0.18,10.1.0.18,1,1

Node,Time,Destination,NextHop,Interface,Distance
13,+3s,10.1.0.3,10.1.0.3,1,1
13,+3s,10.1.0.5,10.1.0.5,1,1
13,+3s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
14,+3s,10.1.0.4,10.1.0.4,1,1
14,+3s,10.1.0.7,10.1.0.7,1,1
14,+3s,10.1.0.8,10.1.0.8,1,1

Node,Time,Destination,NextHop,Interface,Distance
15,+3s,10.1.0.2,10.1.0.2,1,1
15,+3s,10.1.0.6,10.1.0.6,1,1

Node,Time,Destination,NextHop,Interface,Distance
16,+3s,10.1.0.13,10.1.0.13,1,1
16,+3s,10.1.0.18,10.1.0.18,1,1
16,+3s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
17,+3s,10.1.0.13,10.1.0.13,1,1
17,+3s,10.1.0.17,10.1.0.17,1,1
17,+3s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
18,+3s,10.1.0.3,10.1.0.3,1,1
18,+3s,10.1.0.5,10.1.0.5,1,1
18,+3s,10.1.0.14,10.1.0.14,1,1

Node,Time,Destination,NextHop,Interface,Distance
19,+3s,10.1.0.1,10.1.0.1,1,1
19,+3s,10.1.0.12,10.1.0.12,1,1
19,+3s,10.1.0.17,10.1.0.17,1,1
19,+3s,10.1.0.18,10.1.0.18,1,1

Node,Time,Destination,NextHop,Interface,Distance
0,+4s,10.1.0.12,10.1.0.12,1,1
0,+4s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
1,+4s,10.1.0.16,10.1.0.16,1,1

Node,Time,Destination,NextHop,Interface,Distance
2,+4s,10.1.0.14,10.1.0.14,1,1
2,+4s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
3,+4s,10.1.0.7,10.1.0.7,1,1
3,+4s,10.1.0.8,10.1.0.8,1,1
3,+4s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
4,+4s,10.1.0.14,10.1.0.14,1,1
4,+4s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
5,+4s,10.1.0.11,10.1.0.11,1,1
5,+4s,10.1.0.16,10.1.0.16,1,1

Node,Time,Destination,NextHop,Interface,Distance
6,+4s,10.1.0.4,10.1.0.4,1,1
6,+4s,10.1.0.8,10.1.0.8,1,1
6,+4s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
7,+4s,10.1.0.4,10.1.0.4,1,1
7,+4s,10.1.0.7,10.1.0.7,1,1
7,+4s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
8,+4s,10.1.0.10,10.1.0.10,1,1

Node,Time,Destination,NextHop,Interface,Distance
9,+4s,10.1.0.9,10.1.0.9,1,1

Node,Time,Destination,NextHop,Interface,Distance
10,+4s,10.1.0.6,10.1.0.6,1,1

Node,Time,Destination,NextHop,Interface,Distance
11,+4s,10.1.0.1,10.1.0.1,1,1
11,+4s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
12,+4s,10.1.0.17,10.1.0.17,1,1
12,+4s,10.1.0.18,10.1.0.18,1,1

Node,Time,Destination,NextHop,Interface,Distance
13,+4s,10.1.0.3,10.1.0.3,1,1
13,+4s,10.1.0.5,10.1.0.5,1,1
13,+4s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
14,+4s,10.1.0.4,10.1.0.4,1,1
14,+4s,10.1.0.7,10.1.0.7,1,1
14,+4s,10.1.0.8,10.1.0.8,1,1

Node,Time,Destination,NextHop,Interface,Distance
15,+4s,10.1.0.2,10.1.0.2,1,1
15,+4s,10.1.0.6,10.1.0.6,1,1

Node,Time,Destination,NextHop,Interface,Distance
16,+4s,10.1.0.13,10.1.0.13,1,1
16,+4s,10.1.0.18,10.1.0.18,1,1
16,+4s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
17,+4s,10.1.0.13,10.1.0.13,1,1
17,+4s,10.1.0.17,10.1.0.17,1,1
17,+4s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
18,+4s,10.1.0.3,10.1.0.3,1,1
18,+4s,10.1.0.5,10.1.0.5,1,1
18,+4s,10.1.0.14,10.1.0.14,1,1

Node,Time,Destination,NextHop,Interface,Distance
19,+4s,10.1.0.1,10.1.0.1,1,1
19,+4s,10.1.0.12,10.1.0.12,1,1
19,+4s,10.1.0.17,10.1.0.17,1,1
19,+4s,10.1.0.18,10.1.0.18,1,1

Node,Time,Destination,NextHop,Interface,Distance
0,+5s,10.1.0.12,10.1.0.12,1,1
0,+5s,10.1.0.17,10.1.0.20,1,2
0,+5s,10.1.0.18,10.1.0.20,1,2
0,+5s,10.1.0.20,10.1.0.20,1,1

Node,Time,Destination,NextHop,Interface,Distance
1,+5s,10.1.0.6,10.1.0.16,1,2
1,+5s,10.1.0.16,10.1.0.16,1,1

Node,Time,Destination,NextHop,Interface,Distance
2,+5s,10.1.0.5,10.1.0.14,1,2
2,+5s,10.1.0.14,10.1.0.14,1,1
2,+5s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
3,+5s,10.1.0.7,10.1.0.7,1,1
3,+5s,10.1.0.8,10.1.0.8,1,1
3,+5s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
4,+5s,10.1.0.3,10.1.0.14,1,2
4,+5s,10.1.0.14,10.1.0.14,1,1
4,+5s,10.1.0.19,10.1.0.19,1,1

Node,Time,Destination,NextHop,Interface,Distance
5,+5s,10.1.0.2,10.1.0.16,1,2
5,+5s,10.1.0.11,10.1.0.11,1,1
5,+5s,10.1.0.16,10.1.0.16,1,1

Node,Time,Destination,NextHop,Interface,Distance
6,+5s,10.1.0.4,10.1.0.4,1,1
6,+5s,10.1.0.8,10.1.0.8,1,1
6,+5s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
7,+5s,10.1.0.4,10.1.0.4,1,1
7,+5s,10.1.0.7,10.1.0.7,1,1
7,+5s,10.1.0.15,10.1.0.15,1,1

Node,Time,Destination,NextHop,Interface,Distance
8,+5s,10.1.0.10,10.1.0.10,1,1

Node,Time,Destination,NextHop,Interface,Distance
9,+5s,10.1.0.9,10.1.0.9,1,1

Node,Time,Destination,NextHop,Interface,Distance
